nodedata.npmPackageName,nodedata.size,nodedata.sizeindexed,nodedata.sizeunindexed,nodedata.created_at,nodedata.updated_at,nodedata.stargazers_count,nodedata.subscribers_count,nodedata.watchers_count,nodedata.nointerests,nodedata.age,nodedata.lastupdateyears,nodedata.lastupdatemonths,nodedata.lastupdatedays,nodedata.nocontributors,nodedata.noissues,nodedata.npmaudit.metadata.vulnerabilities.info,nodedata.npmaudit.metadata.vulnerabilities.low,nodedata.npmaudit.metadata.vulnerabilities.moderate,nodedata.npmaudit.metadata.vulnerabilities.high,nodedata.npmaudit.metadata.vulnerabilities.critical,nodedata.npmaudit.metadata.vulnerabilities.total,nodedata.npmaudit.metadata.dependencies.prod,nodedata.npmaudit.metadata.dependencies.dev,nodedata.npmaudit.metadata.optional,nodedata.npmaudit.metadata.peer,nodedata.npmaudit.metadata.peerOptional,nodedata.npmaudit.metadata.total,id,name,ownericon,owner,datalocalisation,age,lastupdateyears,lastupdatemonths,lastupdatedays,nocontributors,noissues,nointerests,license,size,sizeindexed,sizeunindexed,nodevdependencies,noproddependencies,nopeerdependencies,nodependencies,noversions,nomaintainers,latestversion,centrality,indegree,outdegree,gcom,bcom,ucom,xcom,ycom,rcom,ecom,ncom,vul.info,vul.low,vul.moderate,vul.high,vul.critical
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,eslint-plugin-react-hooks,eslint-plugin-react-hooks,https://avatars.githubusercontent.com/u/69631?v=4,facebook,United States(California),11.42,0.0,0,0.0,413,837,463789,MIT,,,,0,0,0,0,1858,7,5.0.0,1,1,0,,,,,,,,,0,0,0,0,0
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,eslint-plugin-sort-imports-es6-autofix,eslint-plugin-sort-imports-es6-autofix,https://avatars.githubusercontent.com/u/22770059?v=4,schuchertmanagementberatung,unknown,7.7,1.61,19,589.27,8,17,170,MIT,69519679.0,4151.0,872.0,5,0,0,5,9,1,0.6.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0,1,3,7,6
